Tidspunkt,Luftfuktighet (%),pressure,temperature_aht20,temperature_bmp280,tvoc
2025-02-27 02:00:00+00:00,31.71635,101.0291,20.73269,20.49429,1.0
2025-02-27 03:00:00+00:00,31.6658,101.0403,20.73231,20.47541,1.0
2025-02-27 04:00:00+00:00,31.69212,101.0488,20.61234,20.40554,1.0
2025-02-27 05:00:00+00:00,33.4116,101.0643,18.48946,18.1629,0.0
2025-02-27 06:00:00+00:00,32.72781,101.128,17.92564,17.58789,0.0
2025-02-27 07:00:00+00:00,34.69858,101.1921,16.74404,16.38157,0.0
2025-02-27 08:00:00+00:00,35.55374,101.2407,17.71507,17.36366,1.0
2025-02-27 09:00:00+00:00,35.23417,101.2882,17.2987,16.9454,0.0
2025-02-27 10:00:00+00:00,34.4698,101.3324,17.5869,17.26854,0.0
2025-02-27 11:00:00+00:00,35.62689,101.3651,17.64851,17.31957,0.0
2025-02-27 12:00:00+00:00,33.42276,101.3748,17.82475,17.4827,0.0
2025-02-27 13:00:00+00:00,34.20734,101.3909,18.05496,17.73212,0.0
2025-02-27 14:00:00+00:00,33.43878,101.3671,18.78376,18.51493,0.0
2025-02-27 15:00:00+00:00,33.4486,101.3664,17.90161,17.58096,0.0
2025-02-27 16:00:00+00:00,31.86998,101.4007,18.71967,18.41984,0.0
2025-02-27 17:00:00+00:00,32.20806,101.4306,18.53485,18.2221,0.0
2025-02-27 18:00:00+00:00,32.95393,101.5048,18.00365,17.68803,0.0
2025-02-27 19:00:00+00:00,33.21819,101.5869,17.66281,17.32524,0.0
2025-02-27 20:00:00+00:00,33.38814,101.6445,17.4469,17.13375,0.0
2025-02-27 21:00:00+00:00,33.40874,101.6837,17.28878,16.99012,0.0
2025-02-27 22:00:00+00:00,32.96309,101.729,17.33685,17.02918,0.0
2025-02-27 23:00:00+00:00,32.59182,101.7558,17.37499,17.06382,0.0
2025-02-28 00:00:00+00:00,32.47232,101.7699,17.32712,17.00776,0.0
2025-02-28 01:00:00+00:00,32.24535,101.8265,17.39883,17.08713,0.0
2025-02-28 02:00:00+00:00,32.08151,101.8379,17.28935,16.97942,0.0
2025-02-28 03:00:00+00:00,31.98862,101.8496,17.32292,16.99957,0.0
2025-02-28 04:00:00+00:00,31.93951,101.914,17.22431,16.87799,0.0
2025-02-28 05:00:00+00:00,28.73154,101.9595,15.53059,15.12197,0.0
2025-02-28 06:00:00+00:00,25.45357,101.9789,15.53059,15.15159,0.0
